Utility,Year,Month,Zip Code,Reconnection Fee Amount
Avista,2023,4,99260,0.0
Avista,2023,4,99326,0.0
Avista,2023,4,99335,0.0
Avista,2023,4,99341,0.0
Avista,2023,4,99344,0.0
Avista,2023,4,99371,0.0
Avista,2023,4,99402,0.0
Avista,2023,4,99403,0.0
Avista,2023,5,98620,0.0
Avista,2023,5,98648,0.0
Avista,2023,5,98857,0.0
Avista,2023,5,99001,0.0
Avista,2023,5,99003,0.0
Avista,2023,5,99004,0.0
Avista,2023,5,99005,0.0
Avista,2023,5,99006,0.0
Avista,2023,5,99008,0.0
Avista,2023,5,99009,0.0
Avista,2023,5,99011,0.0
Avista,2023,5,99012,0.0
Avista,2023,5,99013,0.0
Avista,2023,5,99014,0.0
Avista,2023,5,99016,0.0
Avista,2023,5,99018,0.0
Avista,2023,5,99019,0.0
Avista,2023,5,99020,0.0
Avista,2023,5,99021,0.0
Avista,2023,5,99022,0.0
Avista,2023,5,99023,0.0
Avista,2023,5,99025,0.0
Avista,2023,5,99026,0.0
Avista,2023,5,99027,0.0
Avista,2023,5,99029,0.0
Avista,2023,5,99030,0.0
Avista,2023,5,99031,0.0
Avista,2023,5,99032,0.0
Avista,2023,5,99033,0.0
Avista,2023,5,99034,0.0
Avista,2023,5,99036,0.0
Avista,2023,5,99037,0.0
Avista,2023,5,99039,0.0
Avista,2023,5,99040,0.0
Avista,2023,5,99101,0.0
Avista,2023,5,99102,0.0
Avista,2023,5,99103,0.0
Avista,2023,5,99104,0.0
Avista,2023,5,99107,0.0
Avista,2023,5,99109,0.0
Avista,2023,5,99110,0.0
Avista,2023,5,99111,0.0
Avista,2023,5,99113,0.0
Avista,2023,5,99114,0.0
Avista,2023,5,99117,0.0
Avista,2023,5,99122,0.0
Avista,2023,5,99125,0.0
Avista,2023,5,99126,0.0
Avista,2023,5,99128,0.0
Avista,2023,5,99129,0.0
Avista,2023,5,99130,0.0
Avista,2023,5,99131,0.0
Avista,2023,5,99134,0.0
Avista,2023,5,99137,0.0
Avista,2023,5,99138,0.0
Avista,2023,5,99141,0.0
Avista,2023,5,99143,0.0
Avista,2023,5,99144,0.0
Avista,2023,5,99146,0.0
Avista,2023,5,99148,0.0
Avista,2023,5,99149,0.0
Avista,2023,5,99151,0.0
Avista,2023,5,99156,0.0
Avista,2023,5,99157,0.0
Avista,2023,5,99158,0.0
Avista,2023,5,99159,0.0
Avista,2023,5,99160,0.0
Avista,2023,5,99161,0.0
Avista,2023,5,99163,0.0
Avista,2023,5,99164,0.0
Avista,2023,5,99167,0.0
Avista,2023,5,99169,0.0
Avista,2023,5,99170,0.0
Avista,2023,5,99171,0.0
Avista,2023,5,99173,0.0
Avista,2023,5,99174,0.0
Avista,2023,5,99176,0.0
Avista,2023,5,99179,0.0
Avista,2023,5,99181,0.0
Avista,2023,5,99185,0.0
Avista,2023,5,99201,0.0
Avista,2023,5,99202,0.0
Avista,2023,5,99203,0.0
Avista,2023,5,99204,0.0
Avista,2023,5,99205,0.0
Avista,2023,5,99206,0.0
Avista,2023,5,99207,0.0
Avista,2023,5,99208,0.0
Avista,2023,5,99212,0.0
Avista,2023,5,99216,0.0
Avista,2023,5,99217,0.0
Avista,2023,5,99218,0.0
Avista,2023,5,99219,0.0
Avista,2023,5,99220,0.0
Avista,2023,5,99223,0.0
Avista,2023,5,99224,0.0
Avista,2023,5,99228,0.0
Avista,2023,5,99260,0.0
Avista,2023,5,99326,0.0
Avista,2023,5,99335,0.0
Avista,2023,5,99341,0.0
Avista,2023,5,99344,0.0
Avista,2023,5,99371,0.0
Avista,2023,5,99402,0.0
Avista,2023,5,99403,0.0
Avista,2023,6,98620,0.0
Avista,2023,6,98648,0.0
Avista,2023,6,98857,0.0
Avista,2023,6,99001,0.0
Avista,2023,6,99003,0.0
Avista,2023,6,99004,0.0
Avista,2023,6,99005,0.0
Avista,2023,6,99006,0.0
Avista,2023,6,99008,0.0
Avista,2023,6,99009,0.0
Avista,2023,6,99011,0.0
Avista,2023,6,99012,0.0
Avista,2023,6,99013,0.0
Avista,2023,6,99014,0.0
Avista,2023,6,99016,0.0
Avista,2023,6,99018,0.0
Avista,2023,6,99019,0.0
Avista,2023,6,99020,0.0
Avista,2023,6,99021,0.0
Avista,2023,6,99022,0.0
Avista,2023,6,99023,0.0
Avista,2023,6,99025,0.0
Avista,2023,6,99026,0.0
Avista,2023,6,99027,0.0
Avista,2023,6,99029,0.0
Avista,2023,6,99030,0.0
Avista,2023,6,99031,0.0
Avista,2023,6,99032,0.0
Avista,2023,6,99033,0.0
Avista,2023,6,99034,0.0
Avista,2023,6,99036,0.0
Avista,2023,6,99037,0.0
Avista,2023,6,99039,0.0
Avista,2023,6,99040,0.0
Avista,2023,6,99101,0.0
Avista,2023,6,99102,0.0
Avista,2023,6,99103,0.0
Avista,2023,6,99104,0.0
Avista,2023,6,99107,0.0
Avista,2023,6,99109,0.0
Avista,2023,6,99110,0.0
Avista,2023,6,99111,0.0
Avista,2023,6,99113,0.0
Avista,2023,6,99114,0.0
Avista,2023,6,99117,0.0
Avista,2023,6,99122,0.0
Avista,2023,6,99125,0.0
Avista,2023,6,99126,0.0
Avista,2023,6,99128,0.0
Avista,2023,6,99129,0.0
Avista,2023,6,99130,0.0
Avista,2023,6,99131,0.0
Avista,2023,6,99134,0.0
Avista,2023,6,99137,0.0
Avista,2023,6,99138,0.0
Avista,2023,6,99141,0.0
Avista,2023,6,99143,0.0
Avista,2023,6,99144,0.0
Avista,2023,6,99146,0.0
Avista,2023,6,99148,0.0
Avista,2023,6,99149,0.0
Avista,2023,6,99151,0.0
Avista,2023,6,99156,0.0
Avista,2023,6,99157,0.0
Avista,2023,6,99158,0.0
Avista,2023,6,99159,0.0
Avista,2023,6,99160,0.0
Avista,2023,6,99161,0.0
Avista,2023,6,99163,0.0
Avista,2023,6,99164,0.0
Avista,2023,6,99167,0.0
Avista,2023,6,99169,0.0
Avista,2023,6,99170,0.0
Avista,2023,6,99171,0.0
Avista,2023,6,99173,0.0
Avista,2023,6,99174,0.0
Avista,2023,6,99176,0.0
Avista,2023,6,99179,0.0
Avista,2023,6,99181,0.0
Avista,2023,6,99185,0.0
Avista,2023,6,99201,0.0
Avista,2023,6,99202,0.0
Avista,2023,6,99203,0.0
Avista,2023,6,99204,0.0
Avista,2023,6,99205,0.0
Avista,2023,6,99206,0.0
Avista,2023,6,99207,0.0
Avista,2023,6,99208,0.0
Avista,2023,6,99212,0.0
Avista,2023,6,99216,0.0
Avista,2023,6,99217,0.0
Avista,2023,6,99218,0.0
Avista,2023,6,99219,0.0
Avista,2023,6,99220,0.0
Avista,2023,6,99223,0.0
Avista,2023,6,99224,0.0
Avista,2023,6,99228,0.0
Avista,2023,6,99260,0.0
Avista,2023,6,99326,0.0
Avista,2023,6,99335,0.0
Avista,2023,6,99341,0.0
Avista,2023,6,99344,0.0
Avista,2023,6,99371,0.0
Avista,2023,6,99402,0.0
Avista,2023,6,99403,0.0
Avista,2023,7,98620,0.0
Avista,2023,7,98648,0.0
Avista,2023,7,98857,0.0
Avista,2023,7,99001,0.0
Avista,2023,7,99003,0.0
Avista,2023,7,99004,0.0
Avista,2023,7,99005,0.0
Avista,2023,7,99006,0.0
Avista,2023,7,99008,0.0
Avista,2023,7,99009,0.0
Avista,2023,7,99011,0.0
Avista,2023,7,99012,0.0
Avista,2023,7,99013,0.0
Avista,2023,7,99014,0.0
Avista,2023,7,99016,0.0
Avista,2023,7,99018,0.0
Avista,2023,7,99019,0.0
Avista,2023,7,99020,0.0
Avista,2023,7,99021,0.0
Avista,2023,7,99022,0.0
Avista,2023,7,99023,0.0
Avista,2023,7,99025,0.0
Avista,2023,7,99026,0.0
Avista,2023,7,99027,0.0
Avista,2023,7,99029,0.0
Avista,2023,7,99030,0.0
Avista,2023,7,99031,0.0
Avista,2023,7,99032,0.0
Avista,2023,7,99033,0.0
Avista,2023,7,99034,0.0
Avista,2023,7,99036,0.0
Avista,2023,7,99037,0.0
Avista,2023,7,99039,0.0
Avista,2023,7,99040,0.0
Avista,2023,7,99101,0.0
Avista,2023,7,99102,0.0
Avista,2023,7,99103,0.0
Avista,2023,7,99104,0.0
Avista,2023,7,99107,0.0
Avista,2023,7,99109,0.0
Avista,2023,7,99110,0.0
Avista,2023,7,99111,0.0
Avista,2023,7,99113,0.0
Avista,2023,7,99114,0.0
Avista,2023,7,99117,0.0
Avista,2023,7,99122,0.0
Avista,2023,7,99125,0.0
Avista,2023,7,99126,0.0
Avista,2023,7,99128,0.0
Avista,2023,7,99129,0.0
Avista,2023,7,99130,0.0
Avista,2023,7,99131,0.0
Avista,2023,7,99134,0.0
Avista,2023,7,99137,0.0
Avista,2023,7,99138,0.0
Avista,2023,7,99141,0.0
Avista,2023,7,99143,0.0
Avista,2023,7,99144,0.0
Avista,2023,7,99146,0.0
Avista,2023,7,99148,0.0
Avista,2023,7,99149,0.0
Avista,2023,7,99151,0.0
Avista,2023,7,99156,0.0
Avista,2023,7,99157,0.0
Avista,2023,7,99158,0.0
Avista,2023,7,99159,0.0
Avista,2023,7,99160,0.0
Avista,2023,7,99161,0.0
Avista,2023,7,99163,0.0
Avista,2023,7,99164,0.0
Avista,2023,7,99167,0.0
Avista,2023,7,99169,0.0
Avista,2023,7,99170,0.0
Avista,2023,7,99171,0.0
Avista,2023,7,99173,0.0
Avista,2023,7,99174,0.0
Avista,2023,7,99176,0.0
Avista,2023,7,99179,0.0
Avista,2023,7,99181,0.0
Avista,2023,7,99185,0.0
Avista,2023,7,99201,0.0
Avista,2023,7,99202,0.0
Avista,2023,7,99203,0.0
Avista,2023,7,99204,0.0
Avista,2023,7,99205,0.0
Avista,2023,7,99206,0.0
Avista,2023,7,99207,0.0
Avista,2023,7,99208,0.0
Avista,2023,7,99212,0.0
Avista,2023,7,99216,0.0
Avista,2023,7,99217,0.0
Avista,2023,7,99218,0.0
Avista,2023,7,99219,0.0
Avista,2023,7,99220,0.0
Avista,2023,7,99223,0.0
Avista,2023,7,99224,0.0
Avista,2023,7,99228,0.0
Avista,2023,7,99260,0.0
Avista,2023,7,99326,0.0
Avista,2023,7,99335,0.0
Avista,2023,7,99341,0.0
Avista,2023,7,99344,0.0
Avista,2023,7,99371,0.0
Avista,2023,7,99402,0.0
Avista,2023,7,99403,0.0
Avista,2023,8,98620,0.0
Avista,2023,8,98648,0.0
Avista,2023,8,98857,0.0
Avista,2023,8,99001,0.0
Avista,2023,8,99003,0.0
Avista,2023,8,99004,0.0
Avista,2023,8,99005,0.0
Avista,2023,8,99006,0.0
Avista,2023,8,99008,0.0
Avista,2023,8,99009,0.0
Avista,2023,8,99011,0.0
Avista,2023,8,99012,0.0
Avista,2023,8,99013,0.0
Avista,2023,8,99014,0.0
Avista,2023,8,99016,0.0
Avista,2023,8,99018,0.0
Avista,2023,8,99019,0.0
Avista,2023,8,99020,0.0
Avista,2023,8,99021,0.0
Avista,2023,8,99022,0.0
Avista,2023,8,99023,0.0
Avista,2023,8,99025,0.0
Avista,2023,8,99026,0.0
Avista,2023,8,99027,0.0
Avista,2023,8,99029,0.0
Avista,2023,8,99030,0.0
Avista,2023,8,99031,0.0
Avista,2023,8,99032,0.0
Avista,2023,8,99033,0.0
Avista,2023,8,99034,0.0
Avista,2023,8,99036,0.0
Avista,2023,8,99037,0.0
Avista,2023,8,99039,0.0
Avista,2023,8,99040,0.0
Avista,2023,8,99101,0.0
Avista,2023,8,99102,0.0
Avista,2023,8,99103,0.0
Avista,2023,8,99104,0.0
Avista,2023,8,99107,0.0
Avista,2023,8,99109,0.0
Avista,2023,8,99110,0.0
Avista,2023,8,99111,0.0
Avista,2023,8,99113,0.0
Avista,2023,8,99114,0.0
Avista,2023,8,99117,0.0
Avista,2023,8,99122,0.0
Avista,2023,8,99125,0.0
Avista,2023,8,99126,0.0
Avista,2023,8,99128,0.0
Avista,2023,8,99129,0.0
Avista,2023,8,99130,0.0
Avista,2023,8,99131,0.0
Avista,2023,8,99134,0.0
Avista,2023,8,99137,0.0
Avista,2023,8,99138,0.0
Avista,2023,8,99141,0.0
Avista,2023,8,99143,0.0
Avista,2023,8,99144,0.0
Avista,2023,8,99146,0.0
Avista,2023,8,99148,0.0
Avista,2023,8,99149,0.0
Avista,2023,8,99151,0.0
Avista,2023,8,99156,0.0
Avista,2023,8,99157,0.0
Avista,2023,8,99158,0.0
Avista,2023,8,99159,0.0
Avista,2023,8,99160,0.0
Avista,2023,8,99161,0.0
Avista,2023,8,99163,0.0
Avista,2023,8,99164,0.0
Avista,2023,8,99167,0.0
Avista,2023,8,99169,0.0
Avista,2023,8,99170,0.0
Avista,2023,8,99171,0.0
Avista,2023,8,99173,0.0
Avista,2023,8,99174,0.0
Avista,2023,8,99176,0.0
Avista,2023,8,99179,0.0
Avista,2023,8,99181,0.0
Avista,2023,8,99185,0.0
Avista,2023,8,99201,0.0
Avista,2023,8,99202,0.0
Avista,2023,8,99203,0.0
Avista,2023,8,99204,0.0
Avista,2023,8,99205,0.0
Avista,2023,8,99206,0.0
Avista,2023,8,99207,0.0
Avista,2023,8,99208,0.0
Avista,2023,8,99212,0.0
Avista,2023,8,99216,0.0
Avista,2023,8,99217,0.0
Avista,2023,8,99218,0.0
Avista,2023,8,99219,0.0
Avista,2023,8,99220,0.0
Avista,2023,8,99223,0.0
Avista,2023,8,99224,0.0
Avista,2023,8,99228,0.0
Avista,2023,8,99260,0.0
Avista,2023,8,99326,0.0
Avista,2023,8,99335,0.0
Avista,2023,8,99341,0.0
Avista,2023,8,99344,0.0
Avista,2023,8,99371,0.0
Avista,2023,8,99402,0.0
Avista,2023,8,99403,0.0
Avista,2023,9,98620,0.0
Avista,2023,9,98648,0.0
Avista,2023,9,98857,0.0
Avista,2023,9,99001,0.0
Avista,2023,9,99003,0.0
Avista,2023,9,99004,0.0
Avista,2023,9,99005,0.0
Avista,2023,9,99006,0.0
Avista,2023,9,99008,0.0
Avista,2023,9,99009,0.0
Avista,2023,9,99011,0.0
Avista,2023,9,99012,0.0
Avista,2023,9,99013,0.0
Avista,2023,9,99014,0.0
Avista,2023,9,99016,0.0
Avista,2023,9,99018,0.0
Avista,2023,9,99019,0.0
Avista,2023,9,99020,0.0
Avista,2023,9,99021,0.0
Avista,2023,9,99022,0.0
Avista,2023,9,99023,0.0
Avista,2023,9,99025,0.0
Avista,2023,9,99026,0.0
Avista,2023,9,99027,0.0
Avista,2023,9,99029,0.0
Avista,2023,9,99030,0.0
Avista,2023,9,99031,0.0
Avista,2023,9,99032,0.0
Avista,2023,9,99033,0.0
Avista,2023,9,99034,0.0
Avista,2023,9,99036,0.0
Avista,2023,9,99037,0.0
Avista,2023,9,99039,0.0
Avista,2023,9,99040,0.0
Avista,2023,9,99101,0.0
Avista,2023,9,99102,0.0
Avista,2023,9,99103,0.0
Avista,2023,9,99104,0.0
Avista,2023,9,99107,0.0
Avista,2023,9,99109,0.0
Avista,2023,9,99110,0.0
Avista,2023,9,99111,0.0
Avista,2023,9,99113,0.0
Avista,2023,9,99114,0.0
Avista,2023,9,99117,0.0
Avista,2023,9,99122,0.0
Avista,2023,9,99125,0.0
Avista,2023,9,99126,0.0
Avista,2023,9,99128,0.0
Avista,2023,9,99129,0.0
Avista,2023,9,99130,0.0
Avista,2023,9,99131,0.0
Avista,2023,9,99134,0.0
Avista,2023,9,99137,0.0
Avista,2023,9,99138,0.0
Avista,2023,9,99141,0.0
Avista,2023,9,99143,0.0
Avista,2023,9,99144,0.0
Avista,2023,9,99146,0.0
Avista,2023,9,99148,0.0
Avista,2023,9,99149,0.0
Avista,2023,9,99151,0.0
Avista,2023,9,99156,0.0
Avista,2023,9,99157,0.0
Avista,2023,9,99158,0.0
Avista,2023,9,99159,0.0
Avista,2023,9,99160,0.0
Avista,2023,9,99161,0.0
Avista,2023,9,99163,0.0
Avista,2023,9,99164,0.0
Avista,2023,9,99167,0.0
Avista,2023,9,99169,0.0
Avista,2023,9,99170,0.0
Avista,2023,9,99171,0.0
Avista,2023,9,99173,0.0
Avista,2023,9,99174,0.0
Avista,2023,9,99176,0.0
Avista,2023,9,99179,0.0
Avista,2023,9,99181,0.0
Avista,2023,9,99185,0.0
Avista,2023,9,99201,0.0
Avista,2023,9,99202,0.0
Avista,2023,9,99203,0.0
Avista,2023,9,99204,0.0
Avista,2023,9,99205,0.0
Avista,2023,9,99206,0.0
Avista,2023,9,99207,0.0
Avista,2023,9,99208,0.0
Avista,2023,9,99212,0.0
Avista,2023,9,99216,0.0
Avista,2023,9,99217,0.0
Avista,2023,9,99218,0.0
Avista,2023,9,99219,0.0
Avista,2023,9,99220,0.0
Avista,2023,9,99223,0.0
Avista,2023,9,99224,0.0
Avista,2023,9,99228,0.0
Avista,2023,9,99260,0.0
Avista,2023,9,99326,0.0
Avista,2023,9,99335,0.0
Avista,2023,9,99341,0.0
Avista,2023,9,99344,0.0
Avista,2023,9,99371,0.0
Avista,2023,9,99402,0.0
Avista,2023,9,99403,0.0
Avista,2023,10,98620,0.0
Avista,2023,10,98648,0.0
Avista,2023,10,98857,0.0
Avista,2023,10,99001,0.0
Avista,2023,10,99003,0.0
Avista,2023,10,99004,0.0
Avista,2023,10,99005,0.0
Avista,2023,10,99006,0.0
Avista,2023,10,99008,0.0
Avista,2023,10,99009,0.0
Avista,2023,10,99011,0.0
Avista,2023,10,99012,0.0
Avista,2023,10,99013,0.0
Avista,2023,10,99014,0.0
Avista,2023,10,99016,0.0
Avista,2023,10,99018,0.0
Avista,2023,10,99019,0.0
Avista,2023,10,99020,0.0
Avista,2023,10,99021,0.0
Avista,2023,10,99022,0.0
Avista,2023,10,99023,0.0
Avista,2023,10,99025,0.0
Avista,2023,10,99026,0.0
Avista,2023,10,99027,0.0
Avista,2023,10,99029,0.0
Avista,2023,10,99030,0.0
Avista,2023,10,99031,0.0
Avista,2023,10,99032,0.0
Avista,2023,10,99033,0.0
Avista,2023,10,99034,0.0
Avista,2023,10,99036,0.0
Avista,2023,10,99037,0.0
Avista,2023,10,99039,0.0
Avista,2023,10,99040,0.0
Avista,2023,10,99101,0.0
Avista,2023,10,99102,0.0
Avista,2023,10,99103,0.0
Avista,2023,10,99104,0.0
Avista,2023,10,99107,0.0
Avista,2023,10,99109,0.0
Avista,2023,10,99110,0.0
Avista,2023,10,99111,0.0
Avista,2023,10,99113,0.0
Avista,2023,10,99114,0.0
Avista,2023,10,99117,0.0
Avista,2023,10,99122,0.0
Avista,2023,10,99125,0.0
Avista,2023,10,99126,0.0
Avista,2023,10,99128,0.0
Avista,2023,10,99129,0.0
Avista,2023,10,99130,0.0
Avista,2023,10,99131,0.0
Avista,2023,10,99134,0.0
Avista,2023,10,99137,0.0
Avista,2023,10,99138,0.0
Avista,2023,10,99141,0.0
Avista,2023,10,99143,0.0
Avista,2023,10,99144,0.0
Avista,2023,10,99146,0.0
Avista,2023,10,99148,0.0
Avista,2023,10,99149,0.0
Avista,2023,10,99151,0.0
Avista,2023,10,99156,0.0
Avista,2023,10,99157,0.0
Avista,2023,10,99158,0.0
Avista,2023,10,99159,0.0
Avista,2023,10,99160,0.0
Avista,2023,10,99161,0.0
Avista,2023,10,99163,0.0
Avista,2023,10,99164,0.0
Avista,2023,10,99167,0.0
Avista,2023,10,99169,0.0
Avista,2023,10,99170,0.0
Avista,2023,10,99171,0.0
Avista,2023,10,99173,0.0
Avista,2023,10,99174,0.0
Avista,2023,10,99176,0.0
Avista,2023,10,99179,0.0
Avista,2023,10,99181,0.0
Avista,2023,10,99185,0.0
Avista,2023,10,99201,0.0
Avista,2023,10,99202,0.0
Avista,2023,10,99203,0.0
Avista,2023,10,99204,0.0
Avista,2023,10,99205,0.0
Avista,2023,10,99206,0.0
Avista,2023,10,99207,0.0
Avista,2023,10,99208,0.0
Avista,2023,10,99212,0.0
Avista,2023,10,99216,0.0
Avista,2023,10,99217,0.0
Avista,2023,10,99218,0.0
Avista,2023,10,99219,0.0
Avista,2023,10,99220,0.0
Avista,2023,10,99223,0.0
Avista,2023,10,99224,0.0
Avista,2023,10,99228,0.0
Avista,2023,10,99260,0.0
Avista,2023,10,99326,0.0
Avista,2023,10,99335,0.0
Avista,2023,10,99341,0.0
Avista,2023,10,99344,0.0
Avista,2023,10,99371,0.0
Avista,2023,10,99402,0.0
Avista,2023,10,99403,0.0
Avista,2023,11,98620,0.0
Avista,2023,11,98648,0.0
Avista,2023,11,98857,0.0
Avista,2023,11,99001,0.0
Avista,2023,11,99003,0.0
Avista,2023,11,99004,0.0
Avista,2023,11,99005,0.0
Avista,2023,11,99006,0.0
Avista,2023,11,99008,0.0
Avista,2023,11,99009,0.0
Avista,2023,11,99011,0.0
Avista,2023,11,99012,0.0
Avista,2023,11,99013,0.0
Avista,2023,11,99014,0.0
Avista,2023,11,99016,0.0
Avista,2023,11,99018,0.0
Avista,2023,11,99019,0.0
Avista,2023,11,99020,0.0
Avista,2023,11,99021,0.0
Avista,2023,11,99022,0.0
Avista,2023,11,99023,0.0
Avista,2023,11,99025,0.0
Avista,2023,11,99026,0.0
Avista,2023,11,99027,0.0
Avista,2023,11,99029,0.0
Avista,2023,11,99030,0.0
Avista,2023,11,99031,0.0
Avista,2023,11,99032,0.0
Avista,2023,11,99033,0.0
Avista,2023,11,99034,0.0
Avista,2023,11,99036,0.0
Avista,2023,11,99037,0.0
Avista,2023,11,99039,0.0
Avista,2023,11,99040,0.0
Avista,2023,11,99101,0.0
Avista,2023,11,99102,0.0
Avista,2023,11,99103,0.0
Avista,2023,11,99104,0.0
Avista,2023,11,99107,0.0
Avista,2023,11,99109,0.0
Avista,2023,11,99110,0.0
Avista,2023,11,99111,0.0
Avista,2023,11,99113,0.0
Avista,2023,11,99114,0.0
Avista,2023,11,99117,0.0
Avista,2023,11,99122,0.0
Avista,2023,11,99125,0.0
Avista,2023,11,99126,0.0
Avista,2023,11,99128,0.0
Avista,2023,11,99129,0.0
Avista,2023,11,99130,0.0
Avista,2023,11,99131,0.0
Avista,2023,11,99134,0.0
Avista,2023,11,99137,0.0
Avista,2023,11,99138,0.0
Avista,2023,11,99141,0.0
Avista,2023,11,99143,0.0
Avista,2023,11,99144,0.0
Avista,2023,11,99146,0.0
Avista,2023,11,99148,0.0
Avista,2023,11,99149,0.0
Avista,2023,11,99151,0.0
Avista,2023,11,99156,0.0
Avista,2023,11,99157,0.0
Avista,2023,11,99158,0.0
Avista,2023,11,99159,0.0
Avista,2023,11,99160,0.0
Avista,2023,11,99161,0.0
Avista,2023,11,99163,0.0
Avista,2023,11,99164,0.0
Avista,2023,11,99167,0.0
Avista,2023,11,99169,0.0
Avista,2023,11,99170,0.0
Avista,2023,11,99171,0.0
Avista,2023,11,99173,0.0
Avista,2023,11,99174,0.0
Avista,2023,11,99176,0.0
Avista,2023,11,99179,0.0
Avista,2023,11,99181,0.0
Avista,2023,11,99185,0.0
Avista,2023,11,99201,0.0
Avista,2023,11,99202,0.0
Avista,2023,11,99203,0.0
Avista,2023,11,99204,0.0
Avista,2023,11,99205,0.0
Avista,2023,11,99206,0.0
Avista,2023,11,99207,0.0
Avista,2023,11,99208,0.0
Avista,2023,11,99212,0.0
Avista,2023,11,99216,0.0
Avista,2023,11,99217,0.0
Avista,2023,11,99218,0.0
Avista,2023,11,99219,0.0
Avista,2023,11,99220,0.0
Avista,2023,11,99223,0.0
Avista,2023,11,99224,0.0
Avista,2023,11,99228,0.0
Avista,2023,11,99260,0.0
Avista,2023,11,99326,0.0
Avista,2023,11,99335,0.0
Avista,2023,11,99341,0.0
Avista,2023,11,99344,0.0
Avista,2023,11,99371,0.0
Avista,2023,11,99402,0.0
Avista,2023,11,99403,0.0
Avista,2023,12,98620,0.0
Avista,2023,12,98648,0.0
Avista,2023,12,98857,0.0
Avista,2023,12,99001,0.0
Avista,2023,12,99003,0.0
Avista,2023,12,99004,0.0
Avista,2023,12,99005,0.0
Avista,2023,12,99006,0.0
Avista,2023,12,99008,0.0
Avista,2023,12,99009,0.0
Avista,2023,12,99011,0.0
Avista,2023,12,99012,0.0
Avista,2023,12,99013,0.0
Avista,2023,12,99014,0.0
Avista,2023,12,99016,0.0
Avista,2023,12,99018,0.0
Avista,2023,12,99019,0.0
Avista,2023,12,99020,0.0
Avista,2023,12,99021,0.0
Avista,2023,12,99022,0.0
Avista,2023,12,99023,0.0
Avista,2023,12,99025,0.0
Avista,2023,12,99026,0.0
Avista,2023,12,99027,0.0
Avista,2023,12,99029,0.0
Avista,2023,12,99030,0.0
Avista,2023,12,99031,0.0
Avista,2023,12,99032,0.0
Avista,2023,12,99033,0.0
Avista,2023,12,99034,0.0
Avista,2023,12,99036,0.0
Avista,2023,12,99037,0.0
Avista,2023,12,99039,0.0
Avista,2023,12,99040,0.0
Avista,2023,12,99101,0.0
Avista,2023,12,99102,0.0
Avista,2023,12,99103,0.0
Avista,2023,12,99104,0.0
Avista,2023,12,99107,0.0
Avista,2023,12,99109,0.0
Avista,2023,12,99110,0.0
Avista,2023,12,99111,0.0
Avista,2023,12,99113,0.0
Avista,2023,12,99114,0.0
Avista,2023,12,99117,0.0
Avista,2023,12,99122,0.0
Avista,2023,12,99125,0.0
Avista,2023,12,99126,0.0
Avista,2023,12,99128,0.0
Avista,2023,12,99129,0.0
Avista,2023,12,99130,0.0
Avista,2023,12,99131,0.0
Avista,2023,12,99134,0.0
Avista,2023,12,99137,0.0
Avista,2023,12,99138,0.0
Avista,2023,12,99141,0.0
Avista,2023,12,99143,0.0
Avista,2023,12,99144,0.0
Avista,2023,12,99146,0.0
Avista,2023,12,99148,0.0
Avista,2023,12,99149,0.0
Avista,2023,12,99151,0.0
Avista,2023,12,99156,0.0
Avista,2023,12,99157,0.0
Avista,2023,12,99158,0.0
Avista,2023,12,99159,0.0
Avista,2023,12,99160,0.0
Avista,2023,12,99161,0.0
Avista,2023,12,99163,0.0
Avista,2023,12,99164,0.0
Avista,2023,12,99167,0.0
Avista,2023,12,99169,0.0
Avista,2023,12,99170,0.0
Avista,2023,12,99171,0.0
Avista,2023,12,99173,0.0
Avista,2023,12,99174,0.0
Avista,2023,12,99176,0.0
Avista,2023,12,99179,0.0
Avista,2023,12,99181,0.0
Avista,2023,12,99185,0.0
Avista,2023,12,99201,0.0
Avista,2023,12,99202,0.0
Avista,2023,12,99203,0.0
Avista,2023,12,99204,0.0
Avista,2023,12,99205,0.0
Avista,2023,12,99206,0.0
Avista,2023,12,99207,0.0
Avista,2023,12,99208,0.0
Avista,2023,12,99212,0.0
Avista,2023,12,99216,0.0
Avista,2023,12,99217,0.0
Avista,2023,12,99218,0.0
Avista,2023,12,99219,0.0
Avista,2023,12,99220,0.0
Avista,2023,12,99223,0.0
Avista,2023,12,99224,0.0
Avista,2023,12,99228,0.0
Avista,2023,12,99260,0.0
Avista,2023,12,99326,0.0
Avista,2023,12,99335,0.0
Avista,2023,12,99341,0.0
Avista,2023,12,99344,0.0
Avista,2023,12,99371,0.0
Avista,2023,12,99402,0.0
Avista,2023,12,99403,0.0
Avista,2024,1,98620,0.0
Avista,2024,1,98648,0.0
Avista,2024,1,98857,0.0
Avista,2024,1,99001,0.0
Avista,2024,1,99003,0.0
Avista,2024,1,99004,0.0
Avista,2024,1,99005,0.0
Avista,2024,1,99006,0.0
Avista,2024,1,99008,0.0
Avista,2024,1,99009,0.0
Avista,2024,1,99011,0.0
Avista,2024,1,99012,0.0
Avista,2024,1,99013,0.0
Avista,2024,1,99014,0.0
Avista,2024,1,99016,0.0
Avista,2024,1,99018,0.0
Avista,2024,1,99019,0.0
Avista,2024,1,99020,0.0
Avista,2024,1,99021,0.0
Avista,2024,1,99022,0.0
Avista,2024,1,99023,0.0
Avista,2024,1,99025,0.0
Avista,2024,1,99026,0.0
Avista,2024,1,99027,0.0
Avista,2024,1,99029,0.0
